1024 0-0 74840783
2048 0-0 40794223
4096 0-0 40742027
8192 0-0 40905890
16384 0-0 40785848
32768 0-0 55193104
65536 0-0 54984092
131072 0-0 55153301
262144 0-0 72720891
524288 0-0 72879768
1048576 0-0 72815775
2097152 0-0 92465025
4194304 0-0 113371869
8388608 0-0 140353398
16777216 0-0 256577744
33554432 0-0 263682621
67108864 0-0 264481610
1024 0-1 68596736
2048 0-1 58897619
4096 0-1 46844063
8192 0-1 40814023
16384 0-1 40906494
32768 0-1 54948382
65536 0-1 55077203
131072 0-1 54920910
262144 0-1 72840160
524288 0-1 72663220
1048576 0-1 75545461
2097152 0-1 93208683
4194304 0-1 113452761
8388608 0-1 154253180
16777216 0-1 376151636
33554432 0-1 391733697
67108864 0-1 394973473
