1024 0-0 24660882
2048 0-0 23040560
4096 0-0 23044086
8192 0-0 23052024
16384 0-0 23054777
32768 0-0 23093908
65536 0-0 30061529
131072 0-0 30060963
262144 0-0 39666166
524288 0-0 57862808
1048576 0-0 63751217
2097152 0-0 63743791
4194304 0-0 69097574
8388608 0-0 76931249
16777216 0-0 198705993
33554432 0-0 270007914
67108864 0-0 268821109
1024 0-1 24137070
2048 0-1 23093448
4096 0-1 23050407
8192 0-1 23076344
16384 0-1 23072886
32768 0-1 23110981
65536 0-1 30058876
131072 0-1 37972153
262144 0-1 39590950
524288 0-1 57920374
1048576 0-1 63962217
2097152 0-1 63840908
4194304 0-1 69083202
8388608 0-1 77932228
16777216 0-1 364918230
33554432 0-1 495683158
67108864 0-1 496380317
